Product,Old Price,Discount,New Price
 The Diva Cup Modelo 2 Copa Menstrual , $ 680 ,20% OFF,544
 Kativa 2pack Alisado Brasileño 280grs ,,,669
 Papel Higiénico Kirkland Signature Con 30 Rollos De 425 Hd , $ 424 ,14% OFF,362
 Jade Cook Set De 5 Cuchillos - Acero Inoxidable - Cv Directo , $ 899 ,36% OFF,569
 Celulares Alcatel 1c 5003a 16gb 1gb Ram 8+5mpx Android 8.1 ," $ 1,455 ",10% OFF,"1,299"
 Lentes De Sol Hawkers One Hombre Y Mujer Elige Tu Color , $ 699 ,50% OFF,349
" Detergente En Polvo Ace Maxi Limpieza 6kg, 8-pack De 750gr ", $ 209 ,23% OFF,159
 Redlemon Difusor Aceites Aromaterapia Humidificador 100 Ml , $ 502 ,15% OFF,426
 Shampoo Del Caballo Yeguada La Reserva , $ 157 ,5% OFF,149
 Xiaomi Redmi Note 9s 6gb/128gb 48mpx Nuevo Gris Interestelar ," $ 7,167 ",10% OFF,"6,399"
 Motosierra Gasolina 18puLG La Ranchera Turbo455 Hyundai ," $ 1,999 ",15% OFF,"1,699"
 Xiaomi Redmi Note 8 64 Gb + 4 Ram Versión Global Sellado Msi ," $ 4,703 ",10% OFF,"4,199"
 Aceite De Coco Orgánico Virgen 1l , $ 254 ,28% OFF,183
 Carriola Evenflo Grand Trip Mango Reversible Reclinable ," $ 1,599 ",20% OFF,"1,279"
 Sodimel 60 Caps. Antioxidante ," $ 1,226 ",20% OFF,980
 Zte Blade V9 Vita Negro 16 Gb ," $ 2,351 ",10% OFF,"2,099"
 Mesa Plegable Tipo 1.80m Portafolio Plastico Jardin Evento ," $ 1,029 ",5% OFF,969
 Chaleco Térmico Ultralight Unisex (varios Colores A Elegir) ,,,349
 Reja Puerta Seguridad Bebé Mascota Safety 1st | Auto Close ," $ 1,499 ",40% OFF,894
 Ramen Coreano Picante Carbo 1 Pieza 130g Samyang , $ 38 ,8% OFF,34
 Ramen Coreano Picante Carbo 1 Pieza 130g Samyang , $ 38 ,8% OFF,34
 Jade Cook - Sartén Grill Cocina Sin Grasa - Cv Directo ," $ 1,499 ",15% OFF,"1,274"
 Jade Cook Batería De Cocina + Jade Cook Grill - Cv Directo ," $ 5,399 ",15% OFF,"4,589"
 Bayer Equillibrium Para Piel Y Pelo 60 Tabletas 2 Frascos , $ 799 ,13% OFF,690
 Croquetas Alimento Perro Raza Mediana Cachorro 20 Kg Nupec ," $ 2,167 ",32% OFF,"1,459"
 Nupec Adulto 20 Kg ," $ 1,580 ",16% OFF,"1,320"
 Absolut Vodka Original 1l , $ 291 ,25% OFF,218
 Repetidor Inalambrico Tp-link Expansor Tl-wa850re 300 Mbps ,,,439
 Samsung Galaxy A01 16gb 2 De Ram ," $ 2,967 ",19% OFF,"2,399"
 Nucat 15kg By Nupec Alimento Para Gato :) , $ 540 ,7% OFF,498
 Tenis adidas Hombre Blanco Grand Court Base Casual Ee7901 ," $ 1,199 ",35% OFF,769
 Micro Sd Canvas Select Plus 100r A1 C10 64gb + Adp Kingston ,,,249
 Playera De Mujer C&a Con Mangas Roll Up Básica , $ 99 ,30% OFF,69
 Silla Periquera Bebe Prinsel Caddy 2 En 1 Mesa Actividades ," $ 1,449 ",13% OFF,"1,259"
 Funda Carcasa iPhone 11 6.1 2019 Con Mica I-blason Ares , $ 459 ,13% OFF,399
 Extractor De Aire Para Baño Cocina 4 1616b Adir , $ 248 ,11% OFF,219
 Olla De Presión/ Express 6 Litros Aluminio Ekco Envío Gratis , $ 802 ,12% OFF,705
 Aspiradora De Mano De Para Auto Portátil ,,,850
 Tenis Piel K-swiss Mujer Blanco 8f419100 ," $ 1,299 ",20% OFF,"1,039"
 Xiaomi Redmi Note 9s 6gb/128gb 48mpx Nuevo Azul ," $ 6,898 ",10% OFF,"6,159"
 Bascula Comercial Digital 40kg Peso Comercio Tienda , $ 599 ,11% OFF,529
 Vodka Absolut 750 Ml. , $ 260 ,28% OFF,187
 Maquina Para Cortar Cabello Barba Multigroom 14 En 1 Philips ," $ 1,999 ",37% OFF,"1,249"
 Celular Samsung Galaxy M11 32gb Ram 3gb 6.4 Huella Nuevo ," $ 3,999 ",5% OFF,"3,799"
 Royal Canin Shih Tzu 4.5 Kg Garantía De Originalidad , $ 989 ,20% OFF,789
" Almohada Luuna Memory Foam Ajustable, King Size "," $ 1,099 ",20% OFF,879
 Hidrolavadora Tipo Karcher Electrica 1300 Psi Pretul 26014 ," $ 1,299 ",9% OFF,"1,179"
 Polo Cuello Bomber De Hombre C&a Manga Corta , $ 199 ,30% OFF,139
 Xiaomi Redmi Note 9s 4gb/64gb 48mpx Azul Aurora ," $ 5,935 ",10% OFF,"5,299"
" Nautica Blue Eau De Toilette Para Hombre, 100 Ml ", $ 456 ,36% OFF,289
 Celular Apple iPhone 7 32gb Lightning Reacondiconado 4g Lte Desbloqueado ," $ 4,599 ",11% OFF,"4,049"
 Regrowe - Bálsamo De Crecimiento Regrowe Plus 5% , $ 519 ,20% OFF,415
 Lociones Jye Crecimiento Barba Premium Concentrado 4 Meses , $ 600 ,71% OFF,174
 Xiaomi Redmi Note 8 64 Gb + 4 Ram Versión Global Sellado ," $ 4,777 ",10% OFF,"4,299"
 Celular Alcatel 1c 16gb 2019 Telcel ," $ 1,455 ",10% OFF,"1,299"
 Smartwatch Reloj Inteligente Para Ios Android Impermeable ," $ 1,046 ",24% OFF,784
 Batería 17 Piezas T-fal Set Under Pressure Olla Sartén Y Más ," $ 1,779 ",14% OFF,"1,519"
 Bocina Bluetooth Select Sound Shine Subwoofer Tws Radio Fm , $ 616 ,16% OFF,515
 Licuadora Y Exprimidora Portátil 500 Ml Usb , $ 422 ,19% OFF,337
 Kit Led Osun C1 Tipo Xenon Faros Focos Alta Baja H4 9007 H13 , $ 265 ,32% OFF,179
 Timbre Inalámbrico Para Puerta Con 2 Receptores Impermeables , $ 940 ,50% OFF,470
 Sillon Barbero Peluqueria Silla Barberia Estetica Rudo ," $ 7,199 ",9% OFF,"6,494"
 Tv Box Smart 4k Ultra Hd Wifi Android 7 Hdmi Netflix /e , $ 719 ,13% OFF,619
 Juego De 3 Sartenes T-fal Con Antiadherente Envío Gratis , $ 619 ,10% OFF,557
 Combo De Endulzantes De Fruta Del Monje Sustituto De Azúcar , $ 759 ,5% OFF,718
 Convertidor De Tv Reproductor Multimedia Xiaomi Mi 4k Hd ," $ 2,462 ",26% OFF,"1,800"
 Cepillo Facial Spa Exfoliante Limpiador De Rostro Puntos ,,,89
 Funda Cubre Asiento Impermeables Anti Deslizantes Mascotas , $ 715 ,30% OFF,498
 Mantequilla Clarificada Earth's Finest Ghee De 870g , $ 335 ,21% OFF,265
 Paquete 3 Perfumes Nautica Voyage + Blue+ Classic Originales ," $ 1,399 ",32% OFF,949
 Xcellerate 35 Inova Original ,,,467
 Lentes De Sol Hawkers Warwick Hombre Y Mujer Elige Tu Color , $ 699 ,50% OFF,349
